,protocol,io,srcport,dstport,payload
740,1,0,80,0,26.213900539245056
741,1,1,0,80,63.5125
742,1,0,80,0,37.46387058118634
743,1,1,0,80,57.1375
744,1,0,80,0,37.0513481126423
745,1,1,0,80,57.1375
746,1,0,80,0,36.83744757339724
747,1,1,0,80,60.325
748,1,0,80,0,3.882025164769323
749,1,0,80,0,25.928699820251648
750,1,0,80,0,32.49288967004873
751,1,1,0,80,57.1375
752,1,0,80,0,32.635495725812895
753,1,1,0,80,57.1375
754,1,0,80,0,3.7803187664775906
755,1,1,0,80,57.1375
756,1,0,80,0,36.15135415834465
757,1,1,0,80,63.5125
758,1,0,80,0,36.11060957098346
759,1,1,0,80,60.325
760,1,0,80,0,3.7701326196372933
761,1,1,0,80,63.5125
762,1,0,80,0,37.48573939442358
763,1,1,0,80,60.325
764,1,0,80,0,39.83019094032117
765,1,1,0,80,57.1375
766,1,0,80,0,3.74466725253655
767,1,1,0,80,57.1375
768,1,0,80,0,7.535551649756331
769,1,1,0,80,57.1375
770,1,1,0,80,60.325
771,1,0,80,0,40.6332734172159
772,1,1,0,80,57.1375
773,1,0,80,0,11.203754743359298
774,1,0,80,0,29.444417815058916
775,1,0,80,0,40.55688036748552
776,1,0,80,0,3.80053924505692
777,1,1,0,80,60.325
778,1,0,80,0,44.69902137008189
779,1,0,80,0,44.05222688236469
780,1,0,80,0,16.762681738296852
781,1,1,0,80,63.5125
782,1,0,80,0,19.599297012302284
783,1,1,0,80,60.325
784,1,0,80,0,25.199412845502476
785,1,1,0,80,60.325
786,1,0,80,0,11.799149225115833
787,1,1,0,80,60.325
788,1,0,80,0,37.98182617031475
789,1,1,0,80,63.5125
790,1,0,80,0,49.39431219044576
791,1,1,0,80,57.1375
792,1,0,80,0,31.525284601557818
793,1,1,0,80,63.5125
794,1,1,0,80,57.1375
795,1,0,80,0,44.21343265697396
796,1,1,0,80,63.5125
797,1,0,80,0,40.563593512822564
798,1,1,0,80,63.5125
